Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
YAL068C	PAU8	I	-	1807	2169	1.303030	161.042236	392.539001
YAL067W-A	YAL067W-A	I	+	2480	2707	0.000000	0.000000	0.000000
YAL067C	SEO1	I	-	7235	9016	0.000000	0.000000	0.000000
YAL066W	YAL066W	I	+	10091	10399	0.000000	0.000000	0.000000
YAL065C	YAL065C	I	-	11565	11951	0.000000	0.000000	0.000000
YAL064W-B	YAL064W-B	I	+	12046	12426	0.246719	30.492146	74.324326
YAL064C-A	TDA8	I	-	13363	13743	0.000000	0.000000	0.000000
YAL064W	YAL064W	I	+	21566	21850	0.000000	0.000000	0.000000
YAL063C-A	YAL063C-A	I	-	22395	22685	0.000000	0.000000	0.000000
YAL063C	FLO9	I	-	24000	27968	0.066474	8.215560	20.025354
YAL062W	GDH3	I	+	31567	32940	0.531295	65.663055	160.053116
YAL061W	BDH2	I	+	33448	34701	0.721691	89.194214	217.410080
YAL060W	BDH1	I	+	35155	36303	4.547594	562.039795	1369.966919
YAL059C-A	YAL059C-A	I	-	36496	36918	0.013474	1.665259	4.059055
YAL059W	ECM1	I	+	36509	37147	5.994211	740.828064	1805.761597
YAL058W	CNE1	I	+	37464	38972	3.305056	408.473785	995.651184
YAL056C-A	YAL056C-A	I	-	38696	39046	0.000000	0.000000	0.000000
YAL056W	GPB2	I	+	39259	41901	2.458987	303.907623	740.772095
YAL055W	PEX22	I	+	42177	42719	0.764273	94.456940	230.237946
YAL054C	ACS1	I	-	42881	45022	0.103371	12.775682	31.140610
YAL053W	FLC2	I	+	45899	48250	4.883289	603.528564	1471.095337
YAL051W	OAF1	I	+	48564	51707	2.058629	254.427155	620.163879
YAL049C	AIM2	I	-	51855	52595	3.831309	473.513702	1154.185425
YAL048C	GEM1	I	-	52801	54789	0.873806	107.994194	263.234863
YAL047W-A	YAL047W-A	I	+	54584	54913	0.000000	0.000000	0.000000
YAL047C	SPC72	I	-	54989	56857	1.306971	161.529312	393.726227
YAL046C	AIM1	I	-	57029	57385	3.732217	461.266876	1124.333862
YAL045C	YAL045C	I	-	57488	57796	0.000000	0.000000	0.000000
YAL044W-A	YAL044W-A	I	+	57518	57850	1.648649	203.757477	496.657043
YAL044C	GCV3	I	-	57950	58462	11.544765	1426.824219	3477.871094
YAL043C	PTA1	I	-	58695	61052	3.023196	373.638550	910.740601
YAL042C-A	YAL042C-A	I	-	61231	61608	0.000000	0.000000	0.000000
YAL042W	ERV46	I	+	61316	62563	13.786135	1703.836426	4153.085938
YAL041W	CDC24	I	+	62840	65404	3.179727	392.984314	957.895691
YAL040C	CLN3	I	-	65778	67520	3.637980	449.620056	1095.944824
YAL039C	CYC3	I	-	68716	69525	1.349383	166.771042	406.502869
YAL038W	CDC19	I	+	71786	73288	729.788086	90194.929688	219849.343750
YAL037C-B	YAL037C-B	I	-	72326	73300	0.000000	0.000000	0.000000
YAL037C-A	YAL037C-A	I	-	73426	73518	0.000000	0.000000	0.000000
YAL037W	YAL037W	I	+	74020	74823	0.179104	22.135567	53.955246
YAL036C	RBG1	I	-	75043	76152	7.459685	921.946777	2247.237061
YAL035W	FUN12	I	+	76427	79435	21.809072	2695.395996	6570.002930
YAL034C-B	YAL034C-B	I	-	79489	79842	0.232082	28.683149	69.914917
YAL034W-A	MTW1	I	+	79718	80587	1.109015	137.063812	334.091797
YAL034C	FUN19	I	-	80710	81951	1.298108	160.433929	391.056244
YAL033W	POP5	I	+	82706	83227	2.666667	329.574921	803.335876
YAL032C	PRP45	I	-	83335	84474	2.597091	320.975983	782.376038
YAL031W-A	YAL031W-A	I	+	84669	84977	0.000000	0.000000	0.000000
YAL031C	GIP4	I	-	84749	87031	1.198030	148.065216	360.907654
YAL030W	SNC1	I	+	87286	87752	5.666668	700.346802	1707.088989
YAL029C	MYO4	I	-	87855	92270	5.347761	660.932922	1611.017944
YAL028W	FRT2	I	+	92900	94486	0.478261	59.108555	144.076569
YAL027W	SAW1	I	+	94687	95472	0.765903	94.658394	230.728989
YAL026C-A	YAL026C-A	I	-	95386	95823	1.840075	227.415939	554.324280
YAL026C	DRS2	I	-	95630	99697	5.100146	630.329956	1536.423706
HRA1	HRA1	I	+	99305	99868	0.000000	0.000000	0.000000
YAL025C	MAK16	I	-	100225	101145	3.931015	485.836426	1184.221924
YAL024C	LTE1	I	-	101565	105872	1.769112	218.645569	532.946594
YAL023C	PMT2	I	-	106272	108551	18.700394	2311.192627	5633.510742
YAL022C	FUN26	I	-	108877	110430	3.064358	378.725769	923.140686
YAL021C	CCR4	I	-	110846	113359	5.375864	664.406128	1619.484009
YAL020C	ATS1	I	-	113614	114615	0.366597	45.307934	110.437683
YAL019W-A	YAL019W-A	I	+	114250	114819	0.000000	0.000000	0.000000
YAL019W	FUN30	I	+	114919	118314	3.940224	486.974579	1186.996094
YAL018C	LDS1	I	-	118564	119541	0.000000	0.000000	0.000000
YAL017W	PSK1	I	+	120225	124295	2.690837	332.562103	810.617126
YAL016C-B	YAL016C-B	I	-	124307	124492	0.000000	0.000000	0.000000
YAL016C-A	YAL016C-A	I	-	124755	125069	0.000000	0.000000	0.000000
YAL016W	TPD3	I	+	124879	126786	9.381637	1159.481934	2826.226807
YAL015C	NTG1	I	-	126903	128102	1.017782	125.788261	306.607758
YAL014C	SYN8	I	-	128252	129019	4.275065	528.357727	1287.867310
YAL013W	DEP1	I	+	129270	130487	1.146140	141.652115	345.275726
YAL012W	CYS3	I	+	130799	131983	37.913078	4685.699707	11421.350586
YAL011W	SWC3	I	+	132199	134076	1.530822	189.195190	461.161530
YAL010C	MDM10	I	-	134184	135665	1.141704	141.103851	343.939392
YAL009W	SPO7	I	+	135854	136633	0.916667	113.291412	276.146790
YAL008W	FUN14	I	+	136914	137510	1.365997	168.824356	411.507843
YAL007C	ERP2	I	-	137698	138345	15.158176	1873.407837	4566.414551
tP(UGG)A	TRN1	I	+	139152	139254	0.000000	0.000000	0.000000
YAL005C	SSA1	I	-	139503	141431	362.533905	44805.777344	109213.679688
YAL004W	YAL004W	I	+	140760	141407	0.108377	13.394377	32.648670
YAL003W	EFB1	I	+	142174	143160	224.128845	27700.214844	67519.023438
snR18	snR18	I	+	142367	142468	17.598040	2174.951904	5301.425781
YAL002W	VPS8	I	+	143707	147531	1.200343	148.351089	361.604431
YAL001C	TFC3	I	-	147594	151166	1.386018	171.298782	417.539215
YAR002W	NUP60	I	+	152257	153876	4.485288	554.339355	1351.197144
YAR002C-A	ERP1	I	-	154065	154724	19.628033	2425.839844	5912.962891
YAR003W	SWD1	I	+	155005	156285	1.986339	245.492783	598.386475
YAR007C	RFA1	I	-	156754	158619	3.866809	477.901154	1164.879761
YAR008W	SEN34	I	+	158966	159793	0.952653	117.738937	286.987610
YAR009C	YAR009C	I	-	160597	164187	788.922974	97503.445312	237663.765625
YAR010C	YAR010C	I	-	164544	165866	876.084656	108275.812500	263921.312500
tA(UGC)A	TGA1	I	+	166267	166339	0.000000	0.000000	0.000000
YAR014C	BUD14	I	-	166742	168871	4.035211	498.714081	1215.611084
YAR015W	ADE1	I	+	169375	170295	8.296688	1025.392456	2499.385010
YAR018C	KIN3	I	-	170396	171703	1.735283	214.464645	522.755615
YAR019C	CDC15	I	-	172211	175135	1.562051	193.054794	470.569305
YAR019W-A	YAR019W-A	I	+	174998	175330	0.000000	0.000000	0.000000
YAR020C	PAU7	I	-	176856	177023	0.857143	105.934799	258.215118
YAR023C	YAR023C	I	-	179281	179820	0.228084	28.189034	68.710518
tL(CAA)A	SUP56	I	+	181141	181254	0.000000	0.000000	0.000000
tS(AGA)A	tS(AGA)A	I	-	182522	182603	0.000000	0.000000	0.000000
YAR027W	UIP3	I	+	183770	184477	6.502825	803.687927	1958.982056
YAR028W	YAR028W	I	+	184892	185596	3.513477	434.232697	1058.438232
YAR029W	YAR029W	I	+	186321	186545	0.000000	0.000000	0.000000
YAR030C	YAR030C	I	-	186512	186853	0.000000	0.000000	0.000000
YAR031W	PRM9	I	+	186836	187732	1.476958	182.538101	444.934967
YAR033W	MST28	I	+	188107	188811	1.385580	171.244629	417.407257
YAR035W	YAT1	I	+	190193	192256	0.163033	20.149342	49.113842
YAR035C-A	YAR035C-A	I	-	192337	192417	0.000000	0.000000	0.000000
YAR042W	SWH1	I	+	192619	196185	3.489908	431.319763	1051.338013
YAR047C	YAR047C	I	-	201467	201787	0.000000	0.000000	0.000000
YAR050W	FLO1	I	+	203403	208016	0.256665	31.721376	77.320564
YAR053W	YAR053W	I	+	208367	208663	0.000000	0.000000	0.000000
YAR060C	YAR060C	I	-	217157	217492	0.875000	108.141762	263.594543
YAR061W	YAR061W	I	+	218140	218343	0.000000	0.000000	0.000000
YAR062W	YAR062W	I	+	218549	219145	0.175879	21.736988	52.983711
YAR064W	YAR064W	I	+	220198	220497	0.000000	0.000000	0.000000
YAR066W	YAR066W	I	+	221049	221660	3.351798	414.250671	1009.732239
YAR068W	YAR068W	I	+	222406	222891	1.897119	234.466049	571.508850
YAR069C	YAR069C	I	-	224011	224304	0.673469	83.234428	202.883163
YAR070C	YAR070C	I	-	224563	224862	0.000000	0.000000	0.000000
YAL069W	YAL069W	not_in_genome	+	335	646	0.0	0.0	0.0
YAL069W	YAL069W	I	+	335	649	0.0	0.0	0.0
YAL068W-A	YAL068W-A	I	+	538	792	0.0	0.0	0.0
