Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
YAL069W	YAL069W	I	+	335	649	0.305452	35.791996	70.216499
YAL068W-A	YAL068W-A	I	+	538	792	0.705030	82.613403	162.070435
YAL068C	PAU8	I	-	1807	2169	5.055949	592.441711	1162.248169
YAL067W-A	YAL067W-A	I	+	2480	2707	0.000000	0.000000	0.000000
YAL067C	SEO1	I	-	7235	9016	0.228208	26.740763	52.459850
YAL066W	YAL066W	I	+	10091	10399	0.000000	0.000000	0.000000
YAL065C	YAL065C	I	-	11565	11951	0.390063	45.706467	89.666649
YAL064W-B	YAL064W-B	I	+	12046	12426	0.448819	52.591331	103.173325
YAL064C-A	TDA8	I	-	13363	13743	0.000000	0.000000	0.000000
YAL064W	YAL064W	I	+	21566	21850	0.508772	59.616451	116.955162
YAL063C-A	YAL063C-A	I	-	22395	22685	0.360825	42.280445	82.945496
YAL063C	FLO9	I	-	24000	27968	0.371854	43.572792	85.480812
YAL062W	GDH3	I	+	31567	32940	2.483139	290.967163	570.817444
YAL061W	BDH2	I	+	33448	34701	6.629187	776.789246	1523.900024
YAL060W	BDH1	I	+	35155	36303	10.494344	1229.697266	2412.412109
YAL059C-A	YAL059C-A	I	-	36496	36918	0.000000	0.000000	0.000000
YAL059W	ECM1	I	+	36509	37147	6.735524	789.249512	1548.344482
YAL058W	CNE1	I	+	37464	38972	3.523527	412.876831	809.979065
YAL056C-A	YAL056C-A	I	-	38696	39046	0.000000	0.000000	0.000000
YAL056W	GPB2	I	+	39259	41901	5.017374	587.921631	1153.380737
YAL055W	PEX22	I	+	42177	42719	1.478821	173.284027	339.947479
YAL054C	ACS1	I	-	42881	45022	0.506146	59.308746	116.351501
YAL053W	FLC2	I	+	45899	48250	11.607052	1360.081299	2668.198486
YAL051W	OAF1	I	+	48564	51707	3.915451	458.801392	900.073547
YAL049C	AIM2	I	-	51855	52595	9.703105	1136.982056	2230.524170
YAL048C	GEM1	I	-	52801	54789	2.354056	275.841553	541.144165
YAL047W-A	YAL047W-A	I	+	54584	54913	0.139235	16.315161	32.006973
YAL047C	SPC72	I	-	54989	56857	2.237536	262.188080	514.358887
YAL046C	AIM1	I	-	57029	57385	2.651736	310.722870	609.574036
YAL045C	YAL045C	I	-	57488	57796	0.227044	26.604368	52.192276
YAL044W-A	YAL044W-A	I	+	57518	57850	7.206737	844.464905	1656.665649
YAL044C	GCV3	I	-	57950	58462	28.227095	3307.570557	6488.770020
YAL043C	PTA1	I	-	58695	61052	5.846904	685.123535	1344.070801
YAL042C-A	YAL042C-A	I	-	61231	61608	0.000000	0.000000	0.000000
YAL042W	ERV46	I	+	61316	62563	24.548239	2876.492676	5643.083984
YAL041W	CDC24	I	+	62840	65404	5.550743	650.420227	1275.990112
YAL040C	CLN3	I	-	65778	67520	5.483907	642.588562	1260.626099
YAL039C	CYC3	I	-	68716	69525	5.250618	615.252441	1206.998169
YAL038W	CDC19	I	+	71786	73288	913.220581	107008.578125	209928.734375
YAL037C-B	YAL037C-B	I	-	72326	73300	7.200350	843.716431	1655.197388
YAL037C-A	YAL037C-A	I	-	73426	73518	0.000000	0.000000	0.000000
YAL037W	YAL037W	I	+	74020	74823	1.322450	154.960922	304.001312
YAL036C	RBG1	I	-	75043	76152	13.763063	1612.716553	3163.816650
YAL035W	FUN12	I	+	76427	79435	29.479063	3454.272705	6776.569336
YAL034C-B	YAL034C-B	I	-	79489	79842	0.000000	0.000000	0.000000
YAL034W-A	MTW1	I	+	79718	80587	2.957471	346.548004	679.855591
YAL034C	FUN19	I	-	80710	81951	3.696457	433.140289	849.731750
YAL033W	POP5	I	+	82706	83227	5.334291	625.057007	1226.232666
YAL032C	PRP45	I	-	83335	84474	3.631579	425.538055	834.817810
YAL031W-A	YAL031W-A	I	+	84669	84977	0.000000	0.000000	0.000000
YAL031C	GIP4	I	-	84749	87031	3.371660	395.081512	775.068298
YAL030W	SNC1	I	+	87286	87752	13.466102	1577.919434	3095.552002
YAL029C	MYO4	I	-	87855	92270	8.286587	970.998596	1904.898682
YAL028W	FRT2	I	+	92900	94486	1.290804	151.252731	296.726624
YAL027W	SAW1	I	+	94687	95472	2.551139	298.935211	586.449097
YAL026C-A	YAL026C-A	I	-	95386	95823	5.755294	674.388916	1323.011719
YAL026C	DRS2	I	-	95630	99697	7.760767	909.384521	1784.024658
HRA1	HRA1	I	+	99305	99868	0.000000	0.000000	0.000000
YAL025C	MAK16	I	-	100225	101145	6.301846	738.432373	1448.651733
YAL024C	LTE1	I	-	101565	105872	2.356894	276.174103	541.796570
YAL023C	PMT2	I	-	106272	108551	30.147251	3532.568848	6930.170410
YAL022C	FUN26	I	-	108877	110430	5.649292	661.967896	1298.644287
YAL021C	CCR4	I	-	110846	113359	8.189141	959.580261	1882.498169
YAL020C	ATS1	I	-	113614	114615	2.071898	242.779099	476.282440
YAL019W-A	YAL019W-A	I	+	114250	114819	0.020979	2.458259	4.822597
YAL019W	FUN30	I	+	114919	118314	7.250000	849.534302	1666.610840
YAL018C	LDS1	I	-	118564	119541	0.000000	0.000000	0.000000
YAL017W	PSK1	I	+	120225	124295	5.494667	643.849426	1263.099487
YAL016C-B	YAL016C-B	I	-	124307	124492	0.000000	0.000000	0.000000
YAL016C-A	YAL016C-A	I	-	124755	125069	0.000000	0.000000	0.000000
YAL016W	TPD3	I	+	124879	126786	17.612154	2063.742188	4048.635498
YAL015C	NTG1	I	-	126903	128102	2.381104	279.010956	547.361877
YAL014C	SYN8	I	-	128252	129019	5.535156	648.593750	1272.406982
YAL013W	DEP1	I	+	129270	130487	2.998358	351.339050	689.254639
YAL012W	CYS3	I	+	130799	131983	48.703377	5706.922852	11195.803711
YAL011W	SWC3	I	+	132199	134076	2.029821	237.848633	466.609863
YAL010C	MDM10	I	-	134184	135665	2.404858	281.794403	552.822388
YAL009W	SPO7	I	+	135854	136633	2.734004	320.362793	628.485596
YAL008W	FUN14	I	+	136914	137510	5.189280	608.065063	1192.897949
YAL007C	ERP2	I	-	137698	138345	24.649691	2888.380615	5666.405762
tP(UGG)A	TRN1	I	+	139152	139254	0.000000	0.000000	0.000000
YAL005C	SSA1	I	-	139503	141431	675.457336	79148.164062	155272.343750
YAL004W	YAL004W	I	+	140760	141407	0.000000	0.000000	0.000000
YAL003W	EFB1	I	+	142174	143160	288.803528	33841.171875	66389.390625
snR18	snR18	I	+	142367	142468	10.970589	1285.502319	2521.889893
YAL002W	VPS8	I	+	143707	147531	2.190196	256.640930	503.476471
YAL001C	TFC3	I	-	147594	151166	3.427380	401.610596	787.877075
YAR002W	NUP60	I	+	152257	153876	7.902778	926.025024	1816.669678
YAR002C-A	ERP1	I	-	154065	154724	26.116318	3060.235596	6003.550293
YAR003W	SWD1	I	+	155005	156285	2.787178	326.593567	640.709106
YAR007C	RFA1	I	-	156754	158619	7.195338	843.129150	1654.045288
YAR008W	SEN34	I	+	158966	159793	2.617150	306.670166	601.623535
YAR009C	YAR009C	I	-	160597	164187	928.967407	108853.750000	213548.578125
YAR010C	YAR010C	I	-	164544	165866	945.694824	110813.820312	217393.828125
tA(UGC)A	TGA1	I	+	166267	166339	0.000000	0.000000	0.000000
YAR014C	BUD14	I	-	166742	168871	8.193896	960.137390	1883.591309
YAR015W	ADE1	I	+	169375	170295	18.572205	2176.237793	4269.329102
YAR018C	KIN3	I	-	170396	171703	2.182595	255.750259	501.729187
YAR019C	CDC15	I	-	172211	175135	2.764701	323.959778	635.542175
YAR019W-A	YAR019W-A	I	+	174998	175330	0.000000	0.000000	0.000000
YAR020C	PAU7	I	-	176856	177023	0.125000	14.647143	28.734671
YAR023C	YAR023C	I	-	179281	179820	1.010491	118.406456	232.289001
tL(CAA)A	SUP56	I	+	181141	181254	0.000000	0.000000	0.000000
tS(AGA)A	tS(AGA)A	I	-	182522	182603	0.000000	0.000000	0.000000
YAR027W	UIP3	I	+	183770	184477	12.700561	1488.215454	2919.571289
YAR028W	YAR028W	I	+	184892	185596	9.035460	1058.749512	2077.047607
YAR029W	YAR029W	I	+	186321	186545	2.295901	269.027161	527.775635
YAR030C	YAR030C	I	-	186512	186853	0.677323	79.366776	155.701218
YAR031W	PRM9	I	+	186836	187732	5.248422	614.995178	1206.493408
YAR033W	MST28	I	+	188107	188811	3.776803	442.555023	868.201477
YAR035W	YAT1	I	+	190193	192256	0.200097	23.446795	45.997768
YAR035C-A	YAR035C-A	I	-	192337	192417	0.000000	0.000000	0.000000
YAR042W	SWH1	I	+	192619	196185	5.692739	667.058899	1308.631836
YAR047C	YAR047C	I	-	201467	201787	0.632399	74.102715	145.374207
YAR050W	FLO1	I	+	203403	208016	0.349769	40.984932	80.403976
YAR053W	YAR053W	I	+	208367	208663	0.000000	0.000000	0.000000
YAR060C	YAR060C	I	-	217157	217492	1.461310	171.232147	335.922089
YAR061W	YAR061W	I	+	218140	218343	0.000000	0.000000	0.000000
YAR062W	YAR062W	I	+	218549	219145	0.344849	40.408421	79.272980
YAR064W	YAR064W	I	+	220198	220497	0.000000	0.000000	0.000000
YAR066W	YAR066W	I	+	221049	221660	1.471405	172.415054	338.242706
YAR068W	YAR068W	I	+	222406	222891	6.279835	735.853149	1443.591919
YAR069C	YAR069C	I	-	224011	224304	0.000000	0.000000	0.000000
YAR070C	YAR070C	I	-	224563	224862	0.000000	0.000000	0.000000
YAL069W	YAL069W	not_in_genome	+	335	646	0.0	0.0	0.0
Gfp_transgene_gene	Gfp_transgene_gene	Gfp_transgene	+	1	729	0.0	0.0	0.0
